id,name,warranty,price,yearCost,url
,"morphy richards equip 8 piece",10,70,,https://www.argos.co.uk/product/1452671
,"morphy richards equip 8 piece",10,65.99,,https://www.amazon.co.uk/dp/B00F01VUM6
,"argos 9 piece",,70,,https://www.argos.co.uk/product/8475651
,"argos 3 piece",,47,,https://www.argos.co.uk/product/8062899
,"russell hobbs 5 piece",5,70,,https://www.argos.co.uk/product/8494900
,"argos 5 piece",,55,,https://www.argos.co.uk/product/8195687
,"tefal 5 piece",,70,,https://www.argos.co.uk/product/7063057
,"russell hobbs 3 piece",5,45,,https://www.argos.co.uk/product/9248935
,"argos silicone rim 5 piece",,75,,https://www.argos.co.uk/product/8042785
,"salter 3 piece",5,60,,https://www.argos.co.uk/product/3085273
,"salter timeless 5 piece",5,75,,https://www.argos.co.uk/product/2023102
,"joe wicks 3 piece",5,95,,https://www.argos.co.uk/product/8635549
,"meyer 5 piece",10,220,,https://www.argos.co.uk/product/7342170
,"Argos Home 24cm",,18,,https://www.argos.co.uk/product/8370828
,"Russell Hobbs 24cm",5,23,,https://www.argos.co.uk/product/7034749
,"Argos Home 11 Litre",,25,,https://www.argos.co.uk/product/8355238
,"Joe Wicks Quick and Easy 24cm",5,60,,https://www.argos.co.uk/product/8638481
,"Argos Home Copper Triply",,60,,https://www.argos.co.uk/product/8880514
,"Tefal B125SA44 Four Piece",10,59.99,,https://www.amazon.co.uk/dp/B01N6I0DCZ
,"VonShef 3pc",,72.3,,https://www.amazon.co.uk/dp/B07FXHDM4Z
,"Eono 24cm 5l",,42.99,,https://www.amazon.co.uk/dp/B07HKNKQW7
,"Prestige Kitchen Hacks 5 Piece",5,135.99,,https://www.amazon.co.uk/dp/B085GL7N8B
,"ProWare 24cm",122,68,,https://www.amazon.co.uk/dp/B0773QVWQF
